order_item_id,order_id,product_id,quantity,unit_price,line_total
150,45,26,3,452.37,1357.11
151,46,51,1,350.72,350.72
152,47,64,2,231.5,463.0
153,47,37,2,350.11,700.22
154,47,30,1,469.44,469.44
155,47,78,4,198.29,793.16
156,47,46,3,172.35,517.05
157,48,12,4,409.8,1639.2
158,48,38,2,181.32,362.64
159,49,47,4,453.8,1815.2
160,49,68,3,234.74,704.22
161,49,65,3,491.16,1473.48
162,49,35,4,264.46,1057.84
163,49,22,2,348.87,697.74
164,50,51,4,357.43,1429.72
165,50,72,1,89.51,89.51
166,51,48,3,176.13,528.39
167,51,34,2,104.66,209.32
168,51,75,3,402.66,1207.98
169,51,49,2,503.51,1007.02
170,52,60,3,123.34,370.02
171,53,15,4,267.37,1069.48
172,53,18,2,395.49,790.98
173,53,6,2,111.43,222.86
174,53,5,3,110.71,332.13
175,54,54,3,272.36,817.08
176,54,76,3,297.17,891.51
177,54,20,4,177.6,710.4
178,54,13,3,28.9,86.7
179,54,63,3,238.72,716.16
180,55,46,4,207.89,831.56
181,55,8,2,399.75,799.5
182,55,51,1,377.7,377.7
183,55,36,3,53.95,161.85
184,55,25,2,157.03,314.06
185,56,27,2,146.14,292.28
186,56,9,2,206.85,413.7
187,56,71,1,456.44,456.44
188,56,76,2,313.21,626.42
189,56,28,3,517.74,1553.22
190,57,15,3,257.77,773.31
191,57,4,2,226.25,452.5
192,58,42,4,203.77,815.08
193,58,3,1,371.48,371.48
194,58,23,3,232.71,698.13
195,58,34,1,113.86,113.86
196,58,7,2,225.18,450.36
197,59,6,4,94.34,377.36
198,59,67,4,55.28,221.12
199,59,39,4,134.27,537.08
200,59,59,4,16.06,64.24
201,59,4,1,195.61,195.61
202,60,78,3,190.76,572.28
203,60,19,3,139.2,417.6
204,60,9,4,212.21,848.84
205,61,15,2,297.89,595.78
206,62,58,4,136.07,544.28
207,62,30,1,450.01,450.01
208,62,53,3,319.15,957.45
209,62,44,3,394.79,1184.37
210,63,61,1,291.45,291.45
211,63,9,1,196.76,196.76
212,64,17,3,338.08,1014.24
213,64,72,4,102.52,410.08
214,64,8,4,422.55,1690.2
215,65,37,3,348.7,1046.1
216,66,74,2,128.84,257.68
217,67,29,3,320.71,962.13
218,67,14,4,67.78,271.12
219,67,45,1,336.23,336.23
220,67,72,3,101.31,303.93
221,68,24,3,307.21,921.63
222,69,45,4,337.79,1351.16
223,69,1,1,293.84,293.84
224,69,24,2,295.53,591.06
225,70,54,3,259.28,777.84
226,70,59,1,16.26,16.26
227,70,44,2,411.47,822.94
228,70,21,1,127.75,127.75
229,71,35,4,246.45,985.8
230,72,78,1,194.44,194.44
231,72,57,1,436.37,436.37
232,72,54,4,254.66,1018.64
233,72,35,3,250.63,751.89
234,73,29,1,322.54,322.54
235,74,27,2,132.07,264.14
236,75,33,1,284.25,284.25
237,75,38,4,193.8,775.2
238,76,17,2,334.5,669.0
239,76,49,3,464.92,1394.76
240,77,51,1,393.86,393.86
241,78,3,4,375.15,1500.6
242,78,59,4,16.06,64.24
243,78,10,4,106.88,427.52
244,78,41,3,291.4,874.2
245,79,80,3,205.38,616.14
246,79,59,1,14.14,14.14
247,80,56,1,156.13,156.13
248,80,76,3,320.98,962.94
249,81,29,1,301.53,301.53
250,81,43,2,480.06,960.12
251,81,22,3,345.23,1035.69
252,82,19,2,132.52,265.04
253,82,31,2,127.23,254.46
254,82,14,1,70.27,70.27
255,83,64,4,257.76,1031.04
256,83,60,3,118.14,354.42
257,84,20,3,187.07,561.21
258,84,57,1,477.0,477.0
259,84,9,1,207.85,207.85
260,85,60,3,103.91,311.73
261,85,58,1,116.9,116.9
262,85,5,4,115.83,463.32
263,86,75,2,438.1,876.2
264,86,71,4,416.13,1664.52
265,86,6,1,103.45,103.45
266,86,58,3,126.45,379.35
267,87,65,1,481.76,481.76
268,88,57,2,452.36,904.72
269,88,68,3,208.83,626.49
270,89,53,3,350.76,1052.28
271,89,44,1,348.99,348.99
272,89,77,4,468.92,1875.68
273,89,7,2,217.54,435.08
274,90,11,3,55.15,165.45
275,90,75,4,442.85,1771.4
276,90,19,1,132.02,132.02
277,91,72,1,105.36,105.36
278,91,49,4,478.48,1913.92
279,91,43,1,477.95,477.95
280,92,40,4,350.31,1401.24
281,92,24,2,301.98,603.96
282,92,28,3,439.18,1317.54
283,93,65,1,493.44,493.44
284,94,80,2,187.84,375.68
285,94,17,2,311.12,622.24
286,94,77,1,484.06,484.06
287,95,47,4,456.46,1825.84
288,95,31,2,128.88,257.76
289,95,57,4,433.15,1732.6
290,95,79,2,467.98,935.96
291,96,74,4,135.58,542.32
292,96,57,4,450.57,1802.28
293,96,60,2,124.64,249.28
294,97,18,1,433.05,433.05
295,97,33,1,306.82,306.82
296,97,7,2,217.59,435.18
297,97,62,2,432.59,865.18
298,97,48,1,176.41,176.41
299,98,58,4,138.71,554.84
300,98,45,3,286.42,859.26
301,99,50,1,32.83,32.83
302,99,11,1,49.06,49.06
303,100,19,4,136.52,546.08
304,100,18,2,445.18,890.36
305,100,5,4,119.09,476.36
306,101,79,2,411.86,823.72
307,101,1,4,324.66,1298.64
308,101,11,3,46.95,140.85
309,101,3,1,350.16,350.16
310,102,31,4,133.94,535.76
311,103,15,4,297.0,1188.0
312,104,69,3,381.88,1145.64
313,104,3,3,364.32,1092.96
314,104,66,4,372.98,1491.92
315,104,74,1,120.6,120.6
316,104,31,3,136.76,410.28
317,105,68,1,216.56,216.56
318,106,61,1,301.76,301.76
319,106,6,1,100.46,100.46
320,106,50,1,32.62,32.62
321,106,48,3,174.44,523.32
322,107,6,2,104.37,208.74
323,107,46,4,202.65,810.6
324,108,24,2,292.0,584.0
325,108,18,2,389.3,778.6
326,108,9,3,230.72,692.16
327,108,59,4,16.75,67.0
328,109,61,1,308.32,308.32
329,109,33,3,315.91,947.73
330,109,5,3,108.09,324.27
331,109,25,4,163.43,653.72
332,109,37,4,358.47,1433.88
333,110,24,3,349.11,1047.33
334,110,64,4,260.05,1040.2
335,110,48,2,151.53,303.06
336,111,38,4,191.8,767.2
337,111,42,4,205.53,822.12
338,111,14,1,64.81,64.81
339,111,11,3,53.22,159.66
340,111,40,4,370.07,1480.28
341,112,8,2,423.4,846.8
342,112,10,2,121.68,243.36
343,112,52,4,287.43,1149.72
344,113,17,3,303.57,910.71
345,114,50,4,34.38,137.52
346,114,73,3,233.02,699.06
347,114,5,1,111.96,111.96
348,115,18,2,441.19,882.38
349,115,68,1,234.44,234.44
350,115,47,4,499.46,1997.84
351,115,51,1,368.59,368.59
352,115,41,3,306.93,920.79
353,116,28,2,443.45,886.9
354,116,79,4,463.55,1854.2
355,116,37,4,319.46,1277.84
356,116,63,3,285.32,855.96
357,117,9,3,205.21,615.63
358,117,71,2,461.85,923.7
359,117,70,2,216.3,432.6
360,118,26,2,435.84,871.68
361,119,4,2,208.24,416.48
362,119,47,1,487.66,487.66
363,119,71,4,394.05,1576.2
364,119,74,4,141.5,566.0
365,120,53,4,341.02,1364.08
366,120,74,3,127.77,383.31
367,120,10,2,103.29,206.58
368,120,17,2,350.13,700.26
369,120,41,1,317.94,317.94
370,121,67,2,48.1,96.2
371,122,42,3,213.43,640.29
372,122,29,3,352.23,1056.69
373,123,71,3,399.18,1197.54
374,123,36,1,60.64,60.64
375,124,22,3,333.4,1000.2
376,124,76,1,350.27,350.27
377,124,75,1,431.31,431.31
378,124,20,3,172.47,517.41
379,124,80,4,198.41,793.64
380,125,4,4,213.12,852.48
381,125,64,1,235.34,235.34
382,125,70,2,212.01,424.02
383,125,38,4,191.56,766.24
384,125,39,3,128.53,385.59
385,126,19,1,150.03,150.03
386,126,41,4,310.62,1242.48
387,126,45,4,290.78,1163.12
388,126,52,1,255.14,255.14
389,126,17,4,302.46,1209.84
390,127,54,2,277.97,555.94
391,127,32,4,297.77,1191.08
392,127,21,4,150.75,603.0
393,127,42,3,220.16,660.48
394,127,74,1,128.58,128.58
395,128,65,1,475.88,475.88
396,128,59,4,14.02,56.08
397,128,31,4,138.77,555.08
398,128,28,1,451.53,451.53
399,129,56,3,147.64,442.92
400,130,52,2,263.35,526.7
401,130,47,3,463.87,1391.61
402,130,6,4,94.6,378.4
403,131,36,4,64.91,259.64
404,131,80,3,187.71,563.13
405,131,79,3,438.01,1314.03
406,131,16,2,105.29,210.58
407,131,17,4,339.14,1356.56
408,132,6,2,103.82,207.64
409,132,5,2,115.64,231.28
410,132,18,3,413.64,1240.92
411,132,43,3,444.93,1334.79
412,132,61,4,323.35,1293.4
413,133,39,4,133.95,535.8
414,133,61,1,322.71,322.71
415,133,3,3,376.71,1130.13
416,133,48,2,180.92,361.84
417,133,43,4,498.27,1993.08
418,134,68,4,226.46,905.84
419,134,80,2,179.02,358.04
420,135,74,1,140.18,140.18
421,136,3,2,355.78,711.56
422,136,57,2,442.47,884.94
423,137,65,2,487.34,974.68
424,137,79,4,438.27,1753.08
425,137,61,3,319.02,957.06
426,137,8,4,475.06,1900.24
427,138,44,2,380.96,761.92
428,138,70,3,195.27,585.81
429,138,46,3,179.63,538.89
430,138,34,2,119.72,239.44
431,138,79,4,449.47,1797.88
432,139,62,3,492.49,1477.47
433,139,45,4,301.17,1204.68
434,139,72,4,107.0,428.0
435,140,19,1,136.54,136.54
436,140,38,4,187.94,751.76
437,140,6,4,106.65,426.6
438,141,26,3,392.94,1178.82
439,141,69,2,339.35,678.7
440,142,7,2,214.89,429.78
441,142,68,4,195.46,781.84
442,143,61,2,285.99,571.98
443,143,13,4,26.02,104.08
444,143,18,2,426.45,852.9
445,144,42,1,238.18,238.18
446,144,37,2,352.25,704.5
447,144,8,1,438.36,438.36
448,145,54,1,289.3,289.3
449,145,23,4,257.07,1028.28
450,146,24,1,308.82,308.82
451,146,38,3,210.52,631.56
452,146,5,4,108.35,433.4
453,146,2,2,152.13,304.26
454,147,60,4,106.31,425.24
455,147,35,2,256.68,513.36
456,147,25,3,149.43,448.29
457,147,15,2,294.44,588.88
458,147,43,4,446.17,1784.68
459,148,66,2,406.71,813.42
460,148,42,4,241.42,965.68
461,148,12,2,409.53,819.06
462,148,52,4,242.19,968.76
463,149,58,3,139.31,417.93
464,149,35,1,253.4,253.4
465,150,47,4,492.99,1971.96
466,150,31,4,130.86,523.44
467,150,8,3,451.5,1354.5
468,151,38,2,188.76,377.52
469,152,18,3,398.67,1196.01
470,152,62,4,445.55,1782.2
471,153,28,3,466.72,1400.16
472,153,32,1,259.01,259.01
473,153,77,2,422.92,845.84
474,153,11,2,51.65,103.3
475,153,68,4,200.27,801.08
476,154,27,4,143.5,574.0
477,155,66,1,389.1,389.1
478,156,17,4,336.58,1346.32
479,156,66,3,406.98,1220.94
480,156,54,4,278.09,1112.36
481,156,59,1,14.65,14.65
482,157,75,3,368.14,1104.42
483,157,10,1,116.05,116.05
484,158,61,4,287.67,1150.68
485,159,18,4,417.62,1670.48
486,159,54,4,263.46,1053.84
487,160,11,4,47.03,188.12
488,160,70,2,205.48,410.96
489,160,18,1,457.07,457.07
490,160,45,4,344.62,1378.48
